TimeStamp (sec),Distance (m),GPS_Speed (kmh),PosLat (deg),PosLon (deg),AccelForward (g),AccelLateral (g),AccelCombi (g),YawRate (deg/s),GPS_Height (m),GPS_NumSat (NA),RPM (NA),Pedal_throttle (percent),Pedal_brake (percent),Steer_angle (deg),Gear (NA),CoolantT (c),OilT (c),Fuel (percent),IntakeBoost (bar),IntakeTemp (c),AFR (NA)
0,0,123.8066984,34.73858342,126.4134082,0.200075,0.027252,,,0,7,6775,100,0,0,3,82,101,,,,
0.1,11,124.5066969,34.73858344,126.4134462,0.195633,0.012026,,,0,7,6840,100,0,0,3,82,101,,,,
0.2,23,125.2066938,34.7385835,126.4134846,0.193083,0.003741,,,0,7,6867,100,0,0,3,82,101,,,,
0.3,34,125.9056962,34.73858356,126.4135229,0.190528,-0.004538,,,0,7,6912,100,0,0,3,82,101,,,,
0.4,46,126.5066817,34.73858362,126.4135613,0.187348,-0.012198,,,0,7,6959,100,0,0,3,82,102,,,,
0.5,57,127.2066915,34.73858374,126.4136,0.184785,-0.021114,,,0,7,6973,100,0,0,3,82,102,,,,
0.6,69,127.9056954,34.73858392,126.4136392,0.180968,-0.029406,,,0,7,7033,100,0,0,3,82,102,,,,
0.7,81,128.5066809,34.73858409,126.4136783,0.177781,-0.038328,,,0,7,7063,100,0,0,3,82,102,,,,
0.8,92,129.2056833,34.73858427,126.4137174,0.17455,-0.047334,,,0,7,7078,100,0,0,3,82,102,,,,
0.9,104,129.8056871,34.73858453,126.4137569,0.166889,-0.064554,,,0,7,7106,100,0,0,3,82,102,,,,
1,116,130.4056892,34.73858489,126.4137966,0.157967,-0.083005,,,0,7,7142,100,0,0,3,82,102,,,,
1.1,128,131.0036798,34.73858533,126.4138365,0.149038,-0.098294,,,0,7,7174,100,0,0,3,82,102,,,,
1.2,140,131.4046887,34.73858584,126.4138765,0.139491,-0.112914,,,0,7,7219,100,0,0,3,82,102,,,,
1.3,152,131.9036903,34.73858649,126.4139168,0.131244,-0.123691,,,0,7,7247,100,0,0,3,82,102,,,,
1.4,164,132.3036805,34.7385873,126.4139572,0.126827,-0.128733,,,0,7,7283,100,0,0,2,82,102,,,,
1.5,176,132.7036707,34.73858826,126.4139976,0.126872,-0.128038,,,0,7,7318,28,0,0,1,82,102,,,,
1.6,188,133.1046796,34.73858932,126.4140382,0.131378,-0.121607,,,0,7,7395,0,0,0,0,82,102,,,,
1.7,201,133.6046758,34.7385905,126.4140789,0.140326,-0.109454,,,0,7,7107,48,0,0,0,82,102,,,,
1.8,213,134.1046719,34.73859176,126.4141198,0.151779,-0.092871,,,0,7,6523,100,0,0,0,82,102,,,,
1.9,225,134.6066701,34.73859306,126.4141608,0.161319,-0.075038,,,0,7,5718,100,0,0,0,82,102,,,,
2,237,135.3066671,34.7385944,126.4142021,0.168929,-0.058487,,,0,7,5905,100,0,0,0,82,102,,,,
2.1,250,136.005671,34.73859577,126.4142435,0.172715,-0.04386,,,0,7,5830,100,0,0,0,82,102,,,,
2.2,262,136.6056732,34.73859715,126.4142851,0.172683,-0.032446,,,0,7,5907,100,0,0,0,82,102,,,,
2.3,275,137.2046583,34.73859857,126.4143269,0.169496,-0.026748,,,0,7,5915,100,0,0,2,82,102,,,,
2.4,287,137.7056619,34.73860002,126.4143689,0.166303,-0.024855,,,0,7,5944,100,0,0,4,82,102,,,,
2.5,300,138.3056641,34.7386015,126.414411,0.162492,-0.024875,,,0,7,5974,100,0,0,4,82,102,,,,
2.6,313,138.9046605,34.73860302,126.4144533,0.159955,-0.026787,,,0,7,5984,100,0,0,4,82,102,,,,
2.7,325,139.405677,34.73860458,126.4144958,0.158687,-0.028686,,,0,7,6022,100,0,0,4,82,102,,,,
2.8,338,140.005655,34.73860618,126.4145385,0.158063,-0.029317,,,0,7,6041,100,0,0,4,82,102,,,,
2.9,351,140.6046642,34.7386078,126.4145813,0.158693,-0.029298,,,0,7,6067,100,0,0,4,82,102,,,,
3,364,141.1056663,34.73860942,126.4146243,0.158693,-0.027379,,,0,7,6098,100,0,0,4,82,102,,,,
3.1,377,141.7056572,34.73861104,126.4146675,0.158681,-0.02483,,,0,7,6105,100,0,0,4,82,102,,,,
3.2,390,142.3046535,34.73861266,126.4147108,0.157412,-0.0223,,,0,7,6124,100,0,0,4,82,102,,,,
3.3,403,142.8056572,34.73861428,126.4147543,0.156775,-0.021669,,,0,7,6160,100,0,0,4,82,102,,,,
3.4,416,143.4046535,34.73861592,126.414798,0.156138,-0.021688,,,0,7,6183,100,0,0,4,82,102,,,,
3.5,429,143.9046513,34.73861757,126.4148418,0.155501,-0.023613,,,0,7,6211,100,0,0,4,82,102,,,,
3.6,442,144.4056533,34.73861926,126.4148857,0.154863,-0.026799,,,0,7,6227,100,0,0,4,82,102,,,,
3.7,455,145.0056443,34.73862099,126.4149299,0.154232,-0.029986,,,0,7,6265,100,0,0,4,82,102,,,,
3.8,468,145.6046406,34.73862277,126.4149742,0.154232,-0.033166,,,0,7,6262,100,0,0,4,82,102,,,,
3.9,482,146.1046497,34.7386246,126.4150187,0.154226,-0.035696,,,0,7,6302,100,0,0,4,82,102,,,,
4,495,146.6056533,34.73862647,126.4150633,0.153582,-0.036321,,,0,7,6315,100,0,0,4,82,102,,,,
4.1,509,147.2046368,34.73862838,126.4151081,0.152308,-0.035664,,,0,7,6347,100,0,0,4,82,102,,,,
4.2,522,147.7056404,34.73863032,126.415153,0.15102,-0.03309,,,0,7,6368,100,0,0,4,82,102,,,,
4.3,536,148.3046368,34.7386323,126.4151981,0.148464,-0.027985,,,0,7,6378,100,0,0,4,82,102,,,,
4.4,549,148.8046329,34.73863432,126.4152434,0.145278,-0.022255,,,0,7,6422,100,0,0,4,82,102,,,,
4.5,563,149.3046307,34.73863635,126.4152888,0.142098,-0.01715,,,0,7,6435,100,0,0,4,82,102,,,,
4.6,576,149.8046269,34.73863841,126.4153343,0.139555,-0.01144,,,0,7,6455,100,0,0,4,82,102,,,,
4.7,590,150.3036414,34.73864048,126.41538,0.137662,-0.008279,,,0,7,6470,100,0,0,4,82,102,,,,
4.8,604,150.7046246,34.73864257,126.4154258,0.137687,-0.007673,,,0,7,6496,100,0,0,4,82,102,,,,
4.9,618,151.2046224,34.73864467,126.4154718,0.140256,-0.010242,,,0,7,6535,100,0,0,4,82,102,,,,
5,631,151.7046186,34.7386468,126.415518,0.144736,-0.014716,,,0,7,6550,100,0,0,4,82,102,,,,
5.1,645,152.2046148,34.73864895,126.4155643,0.151116,-0.020452,,,0,7,6570,100,0,0,4,82,102,,,,
5.2,659,152.7066242,34.73865111,126.4156108,0.158101,-0.026149,,,0,7,6602,100,0,0,4,82,102,,,,
5.3,673,153.4046336,34.7386533,126.4156575,0.162517,-0.028029,,,0,7,6609,100,0,0,4,82,102,,,,
5.4,687,153.9056372,34.73865551,126.4157043,0.162492,-0.026729,,,0,7,6637,100,0,0,4,82,102,,,,
5.5,701,154.5056282,34.73865773,126.4157514,0.159911,-0.02288,,,0,7,6649,100,0,0,4,82,102,,,,
5.6,715,155.1056303,34.73865997,126.4157985,0.154162,-0.0165,,,0,7,6674,100,0,0,4,82,102,,,,
5.7,730,155.7046154,34.73866221,126.4158458,0.147152,-0.00949,,,0,7,6707,100,0,1,4,82,102,,,,
5.8,744,156.203617,34.73866445,126.4158933,0.140147,-0.002485,,,0,7,6714,100,0,1,4,82,102,,,,
5.9,758,156.6046131,34.73866669,126.4159409,0.133781,0.003881,,,0,7,6736,100,0,1,4,82,102,,,,
6,772,157.1036276,34.73866892,126.4159886,0.128064,0.009605,,,0,7,6761,100,0,1,4,82,102,,,,
6.1,787,157.5036178,34.73867114,126.4160364,0.124246,0.014053,,,0,7,6785,100,0,0,4,82,102,,,,
6.2,801,157.9046138,34.73867333,126.4160844,0.121072,0.017227,,,0,7,6787,100,0,0,4,82,102,,,,
6.3,816,158.4036283,34.73867552,126.4161325,0.119154,0.019113,,,0,7,6814,100,0,0,4,82,102,,,,
6.4,830,158.8036185,34.7386777,126.4161808,0.116611,0.018444,,,0,7,6847,100,0,0,4,82,102,,,,
6.5,845,159.2036087,34.7386799,126.4162292,0.114699,0.014582,,,0,7,6849,100,0,0,4,82,102,,,,
6.6,859,159.603623,34.73868213,126.4162777,0.112787,0.006896,,,0,7,6883,100,0,0,4,82,102,,,,
6.7,874,160.0036132,34.73868441,126.4163264,0.110882,-0.004582,,,0,7,6900,100,0,0,4,82,102,,,,
6.8,888,160.4036146,34.73868677,126.4163752,0.109626,-0.016659,,,0,7,6930,100,0,0,4,82,102,,,,
6.9,903,160.8036048,34.7386892,126.4164242,0.110282,-0.025537,,,0,7,6931,100,0,0,4,82,102,,,,
7,918,161.2026005,34.73869168,126.4164733,0.112851,-0.029948,,,0,7,6958,100,0,0,4,82,102,,,,
7.1,932,161.5036018,34.73869421,126.4165225,0.117338,-0.029247,,,0,7,6982,100,0,2,4,82,102,,,,
7.2,947,161.9046107,34.73869676,126.4165719,0.124348,-0.022198,,,0,7,7003,100,0,2,4,82,102,,,,
7.3,962,162.4046068,34.73869931,126.4166214,0.131346,-0.011376,,,0,7,7020,100,0,2,4,82,102,,,,
7.4,977,162.9046046,34.73870182,126.4166711,0.137076,-0.001842,,,0,7,7039,100,0,1,4,82,102,,,,
7.5,992,163.4046008,34.73870431,126.4167209,0.142155,0.005124,,,0,7,7061,100,0,0,4,82,102,,,,
7.6,1007,163.9046099,34.73870677,126.4167709,0.145322,0.007629,,,0,7,7076,100,0,0,4,82,102,,,,
7.7,1022,164.4056135,34.7387092,126.416821,0.146572,0.005666,,,0,7,7086,100,0,0,4,82,102,,,,
7.8,1037,165.004597,34.73871162,126.4168713,0.145271,-0.001357,,,0,7,7102,100,0,0,4,82,102,,,,
7.9,1052,165.5045932,34.73871405,126.4169217,0.141435,-0.009636,,,0,7,7122,100,0,0,4,82,102,,,,
8,1067,166.0045894,34.7387165,126.4169722,0.136317,-0.017271,,,0,7,7151,100,0,0,4,82,102,,,,
8.1,1082,166.5035926,34.73871897,126.4170228,0.1293,-0.023606,,,0,7,7174,100,0,0,4,82,102,,,,
8.2,1097,166.9046015,34.73872147,126.4170736,0.121665,-0.026136,,,0,7,7183,100,0,0,4,81,102,,,,
8.3,1113,167.4036031,34.73872402,126.4171244,0.115305,-0.026761,,,0,7,7205,100,0,0,4,81,102,,,,
8.4,1128,167.8025859,34.73872659,126.4171754,0.110251,-0.026117,,,0,7,7223,100,0,0,4,81,102,,,,
8.5,1143,168.1036,34.73872919,126.4172265,0.109652,-0.024843,,,0,7,7223,100,0,0,4,81,102,,,,
8.6,1158,168.5025828,34.73873184,126.4172776,0.112883,-0.023581,,,0,7,7240,100,0,0,4,81,102,,,,
8.7,1174,168.8035857,34.73873452,126.4173289,0.120537,-0.0236,,,0,7,7276,100,0,0,4,81,102,,,,
8.8,1189,169.2035872,34.73873726,126.4173803,0.128771,-0.025518,,,0,7,7263,100,0,0,4,81,102,,,,
8.9,1205,169.6035902,34.73874005,126.4174319,0.131824,-0.028074,,,0,7,7308,100,0,0,4,81,102,,,,
9,1220,170.004575,34.73874291,126.4174835,0.121416,-0.031273,,,0,7,7303,100,0,0,4,81,102,,,,
9.1,1236,170.50058,34.73874582,126.4175353,0.08985,-0.035735,,,0,7,7311,100,0,0,4,81,102,,,,
9.2,1251,170.6055959,34.73874879,126.4175871,0.024384,-0.040215,,,0,7,7336,100,0,0,4,81,102,,,,
9.3,1267,171.1955687,34.73875179,126.4176388,-0.086841,-0.046607,,,0,7,7374,100,0,0,4,81,102,,,,
9.4,1282,170.791576,34.7387548,126.4176903,-0.231119,-0.054905,,,0,7,7357,47,0,0,4,81,102,,,,
9.5,1298,169.9885749,34.7387578,126.4177414,-0.399429,-0.064478,,,0,7,7302,0,0,0,4,81,102,,,,
9.6,1313,168.8795884,34.73876077,126.417792,-0.573119,-0.075293,,,0,7,7069,0,0,0,4,81,102,,,,
9.7,1329,166.862609,34.7387637,126.4178419,-0.71644,-0.084177,,,0,7,7110,0,100,0,4,81,102,,,,
9.8,1343,163.1695937,34.73876661,126.4178903,-0.788795,-0.089244,,,0,7,6871,0,100,0,4,81,102,,,,
9.9,1358,160.1685963,34.73876951,126.4179378,-0.831336,-0.091124,,,0,7,6758,0,100,0,4,81,102,,,,
10,1372,157.0616238,34.7387724,126.4179843,-0.858015,-0.089837,,,0,7,6555,0,100,0,3,81,102,,,,
10.1,1386,153.2686267,34.73877528,126.4180295,-0.875707,-0.087294,,,0,7,6426,0,100,0,1,81,102,,,,
10.2,1400,150.1686291,34.73877814,126.4180727,-0.878262,-0.085376,,,0,7,6326,0,100,0,0,81,102,,,,
10.3,1413,147.0686427,34.738781,126.418116,-0.881449,-0.082833,,,0,7,6236,0,100,0,0,81,102,,,,
10.4,1427,143.9686451,34.73878386,126.4181592,-0.884623,-0.080914,,,0,7,6133,0,100,0,0,81,102,,,,
10.5,1439,140.8686588,34.7387867,126.4182008,-0.886528,-0.078365,,,0,7,6286,0,100,0,0,81,102,,,,
10.6,1452,137.7696686,34.73878951,126.4182404,-0.887803,-0.075816,,,0,7,6511,0,100,0,0,81,102,,,,
10.7,1464,134.7686695,34.73879233,126.41828,-0.889078,-0.07326,,,0,7,6899,0,100,0,0,81,102,,,,
10.8,1476,131.6696778,34.73879515,126.4183196,-0.890391,-0.070067,,,0,7,7164,0,100,0,0,81,102,,,,
10.9,1488,128.6686803,34.73879794,126.4183575,-0.895508,-0.066237,,,0,7,7086,0,100,0,0,81,102,,,,
11,1499,125.5696885,34.7388007,126.4183942,-0.902563,-0.061788,,,0,7,6843,0,100,0,0,81,102,,,,
11.1,1511,122.5656945,34.73880342,126.4184301,-0.914124,-0.058614,,,0,7,6586,0,100,0,0,81,102,,,,
11.2,1521,119.1677147,34.73880613,126.418465,-0.934729,-0.056728,,,0,7,6357,0,100,0,0,81,102,,,,
11.3,1532,115.9637199,34.73880878,126.4184989,-0.976225,-0.057403,,,0,7,6129,0,100,0,0,81,102,,,,
11.4,1542,112.3607295,34.73881131,126.4185317,-1.02463,-0.061909,,,0,7,5919,0,100,0,0,81,102,,,,
11.5,1552,108.4597328,34.73881374,126.4185633,-1.069771,-0.070876,,,0,7,5731,0,100,0,0,81,102,,,,
11.6,1562,104.4607434,34.73881609,126.4185938,-1.104015,-0.084337,,,0,7,5535,0,100,0,0,81,102,,,,
11.7,1571,100.5577511,34.73881837,126.418623,-1.121006,-0.105496,,,0,7,5376,0,100,0,0,81,102,,,,
11.8,1580,96.36076137,34.73882063,126.4186507,-1.116379,-0.139389,,,0,7,5635,0,100,0,0,81,102,,,,
11.9,1588,92.46177151,34.73882298,126.4186773,-1.095194,-0.184772,,,0,7,5860,0,100,0,0,81,102,,,,
12,1596,88.66178181,34.73882548,126.4187028,-1.058733,-0.24354,,,0,7,6033,0,100,0,0,81,102,,,,
12.1,1604,84.86579615,34.73882819,126.4187273,-1.00892,-0.315666,,,0,7,6246,0,100,0,0,81,102,,,,
12.2,1611,81.46879806,34.73883122,126.4187508,-0.948948,-0.398613,,,0,7,6371,0,100,-18,0,81,102,,,,
12.3,1618,78.37080729,34.73883475,126.4187732,-0.882647,-0.491044,,,0,7,6256,0,100,-25,0,81,102,,,,
12.4,1625,75.47181142,34.73883879,126.4187947,-0.814441,-0.585336,,,0,7,6037,0,100,-27,0,81,102,,,,
12.5,1632,72.67482839,34.73884336,126.4188153,-0.744979,-0.676384,,,0,7,5714,0,100,-52,1,81,102,,,,
12.6,1638,70.17683498,34.73884854,126.4188351,-0.676154,-0.758471,,,0,7,5435,0,100,-77,2,81,102,,,,
12.7,1644,67.87983204,34.73885438,126.418854,-0.607961,-0.827818,,,0,7,5300,0,100,-99,2,81,102,,,,
12.8,1650,65.88184126,34.73886108,126.418872,-0.539748,-0.885101,,,0,7,5162,0,100,-103,2,81,102,,,,
12.9,1656,64.08484578,34.73886847,126.4188892,-0.469643,-0.934742,,,0,7,5021,0,21,-103,2,81,102,,,,
13,1662,62.58784576,34.73887652,126.4189057,-0.399531,-0.977372,,,0,7,4963,0,0,-103,2,81,102,,,,
13.1,1668,61.38885205,34.73888521,126.4189215,-0.328795,-1.012992,,,0,7,4978,0,0,-103,2,81,102,,,,
13.2,1673,60.29585109,34.73889455,126.4189364,-0.258727,-1.041589,,,0,7,4933,0,0,-116,2,81,102,,,,
13.3,1679,59.89485506,34.73890462,126.4189504,-0.19249,-1.061881,,,0,7,4865,0,0,-125,2,81,102,,,,
13.4,1684,59.39385786,34.73891523,126.4189635,-0.130715,-1.071996,,,0,7,4809,3,0,-128,2,81,102,,,,
13.5,1689,58.79485508,34.73892635,126.4189759,-0.073413,-1.073825,,,0,7,4819,11,0,-128,2,81,102,,,,
13.6,1695,58.3018563,34.738938,126.4189875,-0.021847,-1.067407,,,0,7,4833,13,0,-128,2,81,102,,,,
13.7,1700,58.50185864,34.7389502,126.4189983,0.023944,-1.056598,,,0,7,4883,19,0,-128,2,81,102,,,,
13.8,1705,58.70286037,34.73896309,126.419008,0.060176,-1.048377,,,0,7,4947,31,0,-127,2,81,102,,,,
13.9,1711,59.00285583,34.73897654,126.4190168,0.086861,-1.046535,,,0,7,5084,34,0,-125,2,81,102,,,,
14,1716,59.3048517,34.73899053,126.4190248,0.105273,-1.05171,,,0,7,5185,33,0,-119,2,81,102,,,,
14.1,1722,59.80385332,34.73900504,126.4190318,0.116656,-1.064539,,,0,7,5168,31,0,-117,2,81,102,,,,
14.2,1727,60.20585197,34.73902005,126.4190378,0.119103,-1.085634,,,0,7,5176,29,0,-119,2,81,102,,,,
14.3,1733,60.80385374,34.73903558,126.4190424,0.111391,-1.113046,,,0,7,5249,29,0,-123,2,81,102,,,,
14.4,1738,61.20285419,34.7390514,126.419046,0.097326,-1.141062,,,0,7,5407,29,0,-123,2,81,102,,,,
14.5,1744,61.50284965,34.73906744,126.4190484,0.078843,-1.166511,,,0,7,5504,29,0,-123,2,81,102,,,,
14.6,1749,61.80084953,34.73908366,126.4190498,0.060393,-1.187504,,,0,7,5406,20,0,-122,2,81,102,,,,
14.7,1755,61.90034698,34.73909996,126.41905,0.045256,-1.204699,,,0,7,5351,21,0,-121,2,81,102,,,,
14.8,1761,61.95035078,34.73911629,126.4190487,0.046059,-1.220626,,,0,7,5478,20,0,-117,2,81,102,,,,
14.9,1766,62.00085187,34.73913257,126.4190464,0.06342,-1.235864,,,0,7,5487,20,0,-115,2,81,102,,,,
15,1772,62.10234972,34.73914878,126.4190429,0.096026,-1.245328,,,0,7,5477,17,0,-102,2,81,102,,,,
15.1,1778,62.35234782,34.73916486,126.4190383,0.138726,-1.245194,,,0,7,5358,16,0,-96,2,81,102,,,,
15.2,1783,62.61384465,34.73918075,126.4190325,0.181236,-1.231619,,,0,7,5354,17,0,-102,2,81,102,,,,
15.3,1789,64.00884309,34.73919634,126.4190254,0.204593,-1.199008,,,0,7,5296,16,0,-129,2,81,102,,,,
15.4,1795,64.90684032,34.73921162,126.4190173,0.205664,-1.155612,,,0,7,5281,16,0,-129,2,81,103,,,,
15.5,1801,65.60783825,34.73922655,126.4190084,0.186379,-1.106519,,,0,7,5299,16,0,-141,2,81,103,,,,
15.6,1807,66.40384035,34.73924112,126.4189986,0.150574,-1.055572,,,0,7,5323,17,0,-141,2,81,103,,,,
15.7,1813,66.80033666,34.73925523,126.4189879,0.103431,-1.008531,,,0,7,5313,16,0,-141,2,81,103,,,,
15.8,1819,66.85033403,34.73926876,126.4189764,0.058264,-0.973625,,,0,7,5290,17,0,-141,2,81,103,,,,
15.9,1825,66.89934165,34.73928178,126.4189642,0.021427,-0.953409,,,0,7,5329,19,0,-140,2,81,103,,,,
16,1831,66.84933945,34.73929425,126.4189512,-0.002632,-0.951038,,,0,7,5364,18,0,-129,2,81,103,,,,
16.1,1838,66.80050886,34.73930612,126.4189375,-0.010726,-0.966493,,,0,7,5345,18,0,-128,2,81,103,,,,
16.2,1844,66.86717255,34.73931728,126.4189229,0.000306,-0.997728,,,0,7,5342,18,0,-128,2,81,103,,,,
16.3,1850,66.93383785,34.73932755,126.4189073,0.031,-1.029486,,,0,7,5362,18,0,-129,2,81,103,,,,
16.4,1856,67.00283669,34.73933709,126.4188909,0.071826,-1.050359,,,0,7,5356,18,0,-128,2,81,103,,,,
16.5,1862,67.30583357,34.73934592,126.4188736,0.116439,-1.055272,,,0,7,5369,23,0,-124,2,81,103,,,,
16.6,1868,67.90583093,34.73935408,126.4188556,0.160994,-1.041659,,,0,7,5496,30,0,-98,2,81,103,,,,
16.7,1874,68.5078287,34.73936158,126.4188369,0.199737,-1.005115,,,0,7,5566,32,0,-63,2,81,103,,,,
16.8,1881,69.30883423,34.73936838,126.4188174,0.225134,-0.947036,,,0,7,5571,41,0,-52,2,81,103,,,,
16.9,1887,70.20783248,34.73937472,126.4187974,0.240991,-0.880767,,,0,7,5660,55,0,-72,2,81,103,,,,
17,1894,71.00782412,34.73938064,126.418777,0.249232,-0.81583,,,0,7,5729,66,0,-71,2,81,103,,,,
17.1,1900,71.80882966,34.73938614,126.418756,0.253055,-0.757987,,,0,7,5787,69,0,-64,2,81,103,,,,
17.2,1907,72.70782629,34.73939118,126.4187347,0.25695,-0.71549,,,0,7,5859,75,0,-51,2,81,103,,,,
17.3,1913,73.50981996,34.73939563,126.4187127,0.267841,-0.693324,,,0,7,5954,78,0,-51,2,81,103,,,,
17.4,1920,74.50981878,34.73939957,126.4186901,0.28445,-0.685128,,,0,7,6024,81,0,-51,2,81,103,,,,
17.5,1927,75.51081377,34.73940297,126.4186671,0.304857,-0.685797,,,0,7,6103,83,0,-50,2,81,103,,,,
17.6,1934,76.61181316,34.73940582,126.4186434,0.326513,-0.689608,,,0,7,6199,86,0,-49,2,81,103,,,,
17.7,1941,77.81380828,34.73940808,126.4186192,0.34685,-0.692062,,,0,7,6292,90,0,-49,2,81,103,,,,
17.8,1948,79.21381016,34.73940963,126.4185943,0.361451,-0.684975,,,0,7,6397,94,0,-48,2,81,103,,,,
17.9,1956,80.61280459,34.73941069,126.418569,0.370342,-0.670234,,,0,7,6465,100,0,-42,2,81,103,,,,
18,1963,81.91280531,34.73941128,126.4185433,0.376052,-0.647226,,,0,7,6549,100,0,-26,2,81,104,,,,
18.1,1971,83.21279958,34.73941144,126.4185172,0.379233,-0.617852,,,0,7,6635,100,0,-26,2,81,105,,,,
18.2,1978,84.51179446,34.73941119,126.4184907,0.381776,-0.582723,,,0,7,6722,100,0,-26,2,81,105,,,,
18.3,1986,85.711794,34.7394105,126.4184638,0.38363,-0.539978,,,0,7,6851,100,0,-25,2,81,105,,,,
18.4,1994,86.9137843,34.73940952,126.4184365,0.379679,-0.492765,,,0,7,6922,100,0,-24,2,81,105,,,,
18.5,2002,88.31378457,34.73940829,126.4184089,0.36293,-0.44046,,,0,7,6993,100,0,-20,2,81,105,,,,
18.6,2010,89.70978402,34.73940685,126.418381,0.328234,-0.3837,,,0,7,7068,100,0,-16,2,81,105,,,,
18.7,2019,90.71377882,34.73940524,126.4183528,0.265388,-0.323129,,,0,7,7175,100,0,0,2,81,105,,,,
18.8,2027,92.10377383,34.73940352,126.4183246,0.163786,-0.259989,,,0,7,7245,73,0,0,2,81,105,,,,
18.9,2036,92.49877185,34.73940179,126.4182964,0.035505,-0.192363,,,0,7,7277,0,0,0,2,81,105,,,,
